country|blacklist
Russia|one;has;David
Russia|Augustine;with;Robert
Russia|also;Pope;that;James;Henry;one;Green
Pakistan|has;Green
Pakistan|has;which;from;William;Hippo
Pakistan|Green;has;Pope;William;James
Germany|with;from;Hippo
Germany|has;William;from
Germany|that;Augustine
Indonesia|Robert;from
Indonesia|Robert;William;Henry;James;Augustine;Green;Pope
Indonesia|with;has;Henry;Pope;that;also
Mexico|Hippo;also
Mexico|one;Henry;Green;Pope
Mexico|William;which;Augustine
Philippines|Green
Philippines|William
Philippines|Hippo;Henry;James;also;Augustine;David;with
Vietnam|from;Pope;that
Vietnam|from;Augustine;also;Robert;Henry;Pope;which;album;David;Green
Vietnam|Pope;David;William;with;Henry
Brazil|has;Pope;James;Henry
Brazil|Augustine;Robert;Hippo;from;Green;that;has;with
Brazil|also;Hippo;Henry;from
Japan|Augustine;has;with
Japan|Hippo;Robert;Augustine;from
Japan|one;Henry;also;has
United_States|Augustine;Pope;Green
United_States|Robert;Hippo;David
United_States|with;William
Spain|James
Spain|album;which
Spain|David;which
Niger|Pope;Robert
Niger|David;William
Niger|Pope;album
