person|country|tagClass|minPathDistance|maxPathDistance
21990232557741|Russia|MusicalArtist|3|5
2199023256097|Russia|MusicalArtist|3|6
19791209301543|Russia|MusicalArtist|3|7
28587302325121|Russia|MusicalArtist|3|8
24189255812105|Russia|MusicalArtist|4|6
21990232558496|Russia|MusicalArtist|4|7
21990232558419|Russia|MusicalArtist|4|8
24189255811776|Russia|MusicalArtist|5|7
21990232556891|Russia|MusicalArtist|5|8
2199023259215|Russia|MusicalArtist|6|8
19791209302544|Russia|OfficeHolder|3|5
10995116277882|Russia|OfficeHolder|3|6
30786325580421|Russia|OfficeHolder|3|7
17592186045645|Russia|OfficeHolder|3|8
2052|Russia|OfficeHolder|4|6
10995116280727|Russia|OfficeHolder|4|7
6597069768782|Russia|OfficeHolder|4|8
8796093023522|Russia|OfficeHolder|5|7
13194139533433|Russia|OfficeHolder|5|8
26388279069992|Russia|OfficeHolder|6|8
8796093025552|Russia|Writer|3|5
19791209303273|Russia|Writer|3|6
15393162792181|Russia|Writer|3|7
28587302322515|Russia|Writer|3|8
26388279067581|Russia|Writer|4|6
702|Russia|Writer|4|7
24189255811922|Russia|Writer|4|8
28587302322616|Russia|Writer|5|7
10995116278436|Russia|Writer|5|8
32985348834536|Russia|Writer|6|8
407|Russia|BritishRoyalty|3|5
15393162791418|Russia|BritishRoyalty|3|6
24189255814752|Russia|BritishRoyalty|3|7
2199023258134|Russia|BritishRoyalty|3|8
2199023257255|Russia|BritishRoyalty|4|6
8796093024091|Russia|BritishRoyalty|4|7
28587302324474|Russia|BritishRoyalty|4|8
24189255814717|Russia|BritishRoyalty|5|7
709|Russia|BritishRoyalty|5|8
21990232558783|Russia|BritishRoyalty|6|8
13194139535758|Pakistan|MusicalArtist|3|5
6597069768334|Pakistan|MusicalArtist|3|6
3558|Pakistan|MusicalArtist|3|7
6597069767851|Pakistan|MusicalArtist|3|8
3331|Pakistan|MusicalArtist|4|6
3587|Pakistan|MusicalArtist|4|7
17592186047843|Pakistan|MusicalArtist|4|8
30786325580773|Pakistan|MusicalArtist|5|7
15393162791080|Pakistan|MusicalArtist|5|8
24189255814002|Pakistan|MusicalArtist|6|8
2199023257980|Pakistan|OfficeHolder|3|5
30786325580537|Pakistan|OfficeHolder|3|6
32985348836606|Pakistan|OfficeHolder|3|7
32985348833679|Pakistan|OfficeHolder|3|8
15393162789699|Pakistan|OfficeHolder|4|6
4398046513285|Pakistan|OfficeHolder|4|7
21990232557294|Pakistan|OfficeHolder|4|8
6597069768981|Pakistan|OfficeHolder|5|7
8796093025675|Pakistan|OfficeHolder|5|8
8796093023296|Pakistan|OfficeHolder|6|8
2199023255898|Pakistan|Writer|3|5
21990232556299|Pakistan|Writer|3|6
