date|lengthThreshold|languages
1318636800000|20|ar
1318636800000|20|tk
1318636800000|20|tk
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz
1318636800000|20|uz;tk
1318636800000|20|uz;tk
1318636800000|40|ar
1318636800000|40|tk
1318636800000|40|tk
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz
1318636800000|40|uz;tk
1318636800000|40|uz;tk
1318636800000|113|ar
1318636800000|113|tk
1318636800000|113|tk
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz
1318636800000|113|uz;tk
1318636800000|113|uz;tk
1318636800000|97|ar
1318636800000|97|tk
1318636800000|97|tk
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz
1318636800000|97|uz;tk
1318636800000|97|uz;tk
1318636800000|240|ar
1318636800000|240|tk
1318636800000|240|tk
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz
1318636800000|240|uz;tk
1318636800000|240|uz;tk
1319241600000|20|ar
1319241600000|20|tk
1319241600000|20|tk
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz
1319241600000|20|uz;tk
1319241600000|20|uz;tk
1319241600000|40|ar
1319241600000|40|tk
1319241600000|40|tk
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz
1319241600000|40|uz;tk
1319241600000|40|uz;tk
1319241600000|113|ar
1319241600000|113|tk
1319241600000|113|tk
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz
1319241600000|113|uz;tk
1319241600000|113|uz;tk
1319241600000|97|ar
1319241600000|97|tk
1319241600000|97|tk
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz
1319241600000|97|uz;tk
1319241600000|97|uz;tk
1319241600000|240|ar
1319241600000|240|tk
1319241600000|240|tk
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz
1319241600000|240|uz;tk
1319241600000|240|uz;tk
1320105600000|20|ar
1320105600000|20|tk
1320105600000|20|tk
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz
1320105600000|20|uz;tk
1320105600000|20|uz;tk
1320105600000|40|ar
1320105600000|40|tk
1320105600000|40|tk
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz
1320105600000|40|uz;tk
1320105600000|40|uz;tk
1320105600000|113|ar
1320105600000|113|tk
1320105600000|113|tk
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz
1320105600000|113|uz;tk
1320105600000|113|uz;tk
1320105600000|97|ar
1320105600000|97|tk
1320105600000|97|tk
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz
1320105600000|97|uz;tk
1320105600000|97|uz;tk
1320105600000|240|ar
1320105600000|240|tk
1320105600000|240|tk
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz
1320105600000|240|uz;tk
1320105600000|240|uz;tk
1320710400000|20|ar
1320710400000|20|tk
1320710400000|20|tk
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz
1320710400000|20|uz;tk
1320710400000|20|uz;tk
1320710400000|40|ar
1320710400000|40|tk
1320710400000|40|tk
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz
1320710400000|40|uz;tk
1320710400000|40|uz;tk
1320710400000|113|ar
1320710400000|113|tk
1320710400000|113|tk
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz
1320710400000|113|uz;tk
1320710400000|113|uz;tk
1320710400000|97|ar
1320710400000|97|tk
1320710400000|97|tk
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz
1320710400000|97|uz;tk
1320710400000|97|uz;tk
1320710400000|240|ar
1320710400000|240|tk
1320710400000|240|tk
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz
1320710400000|240|uz;tk
1320710400000|240|uz;tk
1321315200000|20|ar
1321315200000|20|tk
1321315200000|20|tk
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz
1321315200000|20|uz;tk
1321315200000|20|uz;tk
1321315200000|40|ar
1321315200000|40|tk
1321315200000|40|tk
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz
1321315200000|40|uz;tk
1321315200000|40|uz;tk
1321315200000|113|ar
1321315200000|113|tk
1321315200000|113|tk
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz
1321315200000|113|uz;tk
1321315200000|113|uz;tk
1321315200000|97|ar
1321315200000|97|tk
1321315200000|97|tk
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz
1321315200000|97|uz;tk
1321315200000|97|uz;tk
1321315200000|240|ar
1321315200000|240|tk
1321315200000|240|tk
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz
1321315200000|240|uz;tk
1321315200000|240|uz;tk
1321920000000|20|ar
1321920000000|20|tk
1321920000000|20|tk
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz
1321920000000|20|uz;tk
1321920000000|20|uz;tk
1321920000000|40|ar
