country|endDate
Colombia|1356998400000
Tunisia|1356998400000
Cuba|1356998400000
Egypt|1356998400000
Sweden|1356998400000
Cameroon|1356998400000
Netherlands|1356998400000
Czech_Republic|1356998400000
Cambodia|1356998400000
South_Korea|1356998400000
Portugal|1356998400000
Tanzania|1356998400000
Algeria|1356998400000
Hungary|1356998400000
Romania|1356998400000
Iran|1356998400000
Kenya|1356998400000
Turkey|1356998400000
Democratic_Republic_of_the_Congo|1356998400000
Thailand|1356998400000
Madagascar|1356998400000
Nepal|1356998400000
Venezuela|1356998400000
United_Kingdom|1356998400000
Australia|1356998400000
Ukraine|1356998400000
Taiwan|1356998400000
Canada|1356998400000
Moldova|1356998400000
England|1356998400000
Argentina|1356998400000
Italy|1356998400000
