country1|country2
Japan|United_States
Japan|Spain
Japan|Niger
Japan|Senegal
Japan|Greece
Japan|Burma
Japan|South_Africa
Japan|Chile
Japan|Kazakhstan
Japan|Ethiopia
Japan|Afghanistan
Japan|Yemen
Japan|Colombia
Japan|Tunisia
Japan|Cuba
Japan|Egypt
Japan|Sweden
Japan|Cameroon
United_States|Spain
United_States|Niger
United_States|Senegal
United_States|Greece
United_States|Burma
United_States|South_Africa
United_States|Chile
United_States|Kazakhstan
United_States|Ethiopia
United_States|Afghanistan
United_States|Yemen
United_States|Colombia
United_States|Tunisia
United_States|Cuba
United_States|Egypt
United_States|Sweden
United_States|Cameroon
Spain|Niger
Spain|Senegal
Spain|Greece
Spain|Burma
Spain|South_Africa
Spain|Chile
Spain|Kazakhstan
Spain|Ethiopia
Spain|Afghanistan
Spain|Yemen
Spain|Colombia
Spain|Tunisia
Spain|Cuba
Spain|Egypt
Spain|Sweden
Spain|Cameroon
Niger|Senegal
Niger|Greece
Niger|Burma
Niger|South_Africa
Niger|Chile
Niger|Kazakhstan
Niger|Ethiopia
Niger|Afghanistan
Niger|Yemen
Niger|Colombia
Niger|Tunisia
Niger|Cuba
Niger|Egypt
Niger|Sweden
Niger|Cameroon
Senegal|Greece
Senegal|Burma
Senegal|South_Africa
Senegal|Chile
Senegal|Kazakhstan
Senegal|Ethiopia
Senegal|Afghanistan
Senegal|Yemen
Senegal|Colombia
Senegal|Tunisia
Senegal|Cuba
Senegal|Egypt
Senegal|Sweden
Senegal|Cameroon
Greece|Burma
Greece|South_Africa
Greece|Chile
Greece|Kazakhstan
Greece|Ethiopia
Greece|Afghanistan
Greece|Yemen
Greece|Colombia
Greece|Tunisia
Greece|Cuba
Greece|Egypt
Greece|Sweden
Greece|Cameroon
Burma|South_Africa
Burma|Chile
Burma|Kazakhstan
Burma|Ethiopia
Burma|Afghanistan
Burma|Yemen
Burma|Colombia
Burma|Tunisia
Burma|Cuba
Burma|Egypt
Burma|Sweden
Burma|Cameroon
South_Africa|Chile
South_Africa|Kazakhstan
South_Africa|Ethiopia
South_Africa|Afghanistan
South_Africa|Yemen
South_Africa|Colombia
South_Africa|Tunisia
South_Africa|Cuba
South_Africa|Egypt
South_Africa|Sweden
South_Africa|Cameroon
Chile|Kazakhstan
Chile|Ethiopia
Chile|Afghanistan
Chile|Yemen
Chile|Colombia
Chile|Tunisia
Chile|Cuba
Chile|Egypt
Chile|Sweden
Chile|Cameroon
Kazakhstan|Ethiopia
Kazakhstan|Afghanistan
Kazakhstan|Yemen
Kazakhstan|Colombia
Kazakhstan|Tunisia
Kazakhstan|Cuba
Kazakhstan|Egypt
Kazakhstan|Sweden
Kazakhstan|Cameroon
Ethiopia|Afghanistan
Ethiopia|Yemen
Ethiopia|Colombia
Ethiopia|Tunisia
Ethiopia|Cuba
Ethiopia|Egypt
Ethiopia|Sweden
Ethiopia|Cameroon
Afghanistan|Yemen
Afghanistan|Colombia
Afghanistan|Tunisia
Afghanistan|Cuba
Afghanistan|Egypt
Afghanistan|Sweden
Afghanistan|Cameroon
Yemen|Colombia
Yemen|Tunisia
Yemen|Cuba
Yemen|Egypt
Yemen|Sweden
Yemen|Cameroon
Colombia|Tunisia
Colombia|Cuba
Colombia|Egypt
Colombia|Sweden
Colombia|Cameroon
Tunisia|Cuba
Tunisia|Egypt
Tunisia|Sweden
Tunisia|Cameroon
Cuba|Egypt
Cuba|Sweden
Cuba|Cameroon
Egypt|Sweden
Egypt|Cameroon
Sweden|Cameroon
