tagClass|country
MusicalArtist|Niger
MusicalArtist|Senegal
MusicalArtist|Greece
MusicalArtist|Burma
MusicalArtist|South_Africa
MusicalArtist|Chile
MusicalArtist|Kazakhstan
MusicalArtist|Ethiopia
MusicalArtist|Afghanistan
MusicalArtist|Yemen
MusicalArtist|Colombia
MusicalArtist|Tunisia
MusicalArtist|Cuba
MusicalArtist|Egypt
MusicalArtist|Sweden
MusicalArtist|Cameroon
OfficeHolder|Niger
OfficeHolder|Senegal
OfficeHolder|Greece
OfficeHolder|Burma
OfficeHolder|South_Africa
OfficeHolder|Chile
OfficeHolder|Kazakhstan
OfficeHolder|Ethiopia
OfficeHolder|Afghanistan
OfficeHolder|Yemen
OfficeHolder|Colombia
OfficeHolder|Tunisia
OfficeHolder|Cuba
OfficeHolder|Egypt
OfficeHolder|Sweden
OfficeHolder|Cameroon
Writer|Niger
Writer|Senegal
Writer|Greece
Writer|Burma
Writer|South_Africa
Writer|Chile
Writer|Kazakhstan
Writer|Ethiopia
Writer|Afghanistan
Writer|Yemen
Writer|Colombia
Writer|Tunisia
Writer|Cuba
Writer|Egypt
Writer|Sweden
Writer|Cameroon
