tagClass1|tagClass2|threshold
TennisPlayer|Philosopher|200
TennisPlayer|Song|200
TennisPlayer|Saint|200
TennisPlayer|President|200
TennisPlayer|Monarch|200
TennisPlayer|Scientist|200
TennisPlayer|Thing|200
TennisPlayer|Artist|200
Philosopher|Song|200
Philosopher|Saint|200
Philosopher|President|200
Philosopher|Monarch|200
Philosopher|Scientist|200
Philosopher|Thing|200
Philosopher|Artist|200
Song|Saint|200
Song|President|200
Song|Monarch|200
Song|Scientist|200
Song|Thing|200
Song|Artist|200
Saint|President|200
Saint|Monarch|200
Saint|Scientist|200
Saint|Thing|200
Saint|Artist|200
President|Monarch|200
President|Scientist|200
President|Thing|200
President|Artist|200
Monarch|Scientist|200
Monarch|Thing|200
Monarch|Artist|200
Scientist|Thing|200
Scientist|Artist|200
Thing|Artist|200
